agency_name,parent_agency_name,description
"Alcohol, Tobacco, Firearms, and Explosives Bureau",Justice Department,"The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) is responsible for enforcing Federal criminal laws and regulating the firearms and explosives industries. 
ATF, formerly known as the Bureau of Alcohol, Tobacco, and Firearms, was initially established by Department of Treasury Order No. 221, effective July 1, 1972, which transferred the functions, powers, and duties arising under laws relating to alcohol, tobacco, firearms, and explosives from the Internal Revenue Service to ATF. The Homeland Security Act of 2002 (6 U.S.C. 531) transferred certain functions and authorities of ATF to the Department of Justice and established it under its current name. ATF works, directly and through partnerships, to investigate and reduce violent crime involving firearms and explosives, acts of arson, and illegal trafficking of alcohol and tobacco products. 
The Bureau provides training and support to its Federal, State, local, and international law enforcement partners and works primarily in 23 field divisions across the 50 States, Puerto Rico, the U.S. Virgin Islands, and Guam. It also has foreign offices in Mexico, Canada, Colombia, and France."
American Battle Monuments Commission,,"The American Battle Monuments Commission (ABMC) was established by Congress in 1923 to commemorate the service, achievements, and sacrifice of U.S. armed forces where they have served overseas since 1917, and within the U.S. when directed by public law.
The ABMC commemorative mission is reflected in 24 overseas military cemeteries that serve as resting places for almost 125,000 American war dead; on Tablets of the Missing that memorialize more than 94,000 U.S. servicemen and women; and through 25 memorials, monuments and markers."
Amtrak Reform Council,,"The Amtrak Reform Council was an independent bipartisan Federal commission established under the Amtrak Reform and Accountability Act of 1997 (P.L. 105-134).  The Council consisted of eleven members whose statutory mandate was to make recommendations to Amtrak in order to help it reach operational self-sufficiency, and to report annually to Congress on Amtrak’s performance.
On February 7, 2002, the Council released to Congress its Action Plan for the Restructuring and Rationalization of the National Intercity Rail Passenger System. The Council, in a vote of nine Council members in favor, one against, and one abstaining (Secretary of Transportation), adopted the Action Plan."
Animal and Plant Health Inspection Service,Agriculture Department,"The Animal and Plant Health Inspection Service was reestablished by the Secretary of Agriculture on March 14, 1977, pursuant to authority contained in 5 U.S.C. 301 and Reorganization Plan No. 2 of 1953 (5 U.S.C. app.).
The Service was established to conduct regulatory and control programs to protect and improve animal and plant health for the benefit of man and the environment. In cooperation with State governments, the agency administers Federal laws and regulations pertaining to animal and plant health and quarantine, humane treatment of animals, and the control and eradication of pests and diseases. Regulations to prevent the introduction or interstate spread of certain animal or plant pests or diseases are also enforced by the Service. It also carries out research and operational activities to reduce crop and livestock depredation caused by birds, rodents, and predators."
Animal and Plant Health Inspection Service,Agriculture Department,"The Animal and Plant Health Inspection Service was reestablished by the Secretary of Agriculture on March 14, 1977, pursuant to authority contained in 5 U.S.C. 301 and Reorganization Plan No. 2 of 1953 (5 U.S.C. app.).
The Service was established to conduct regulatory and control programs to protect and improve animal and plant health for the benefit of man and the environment. In cooperation with State governments, the agency administers Federal laws and regulations pertaining to animal and plant health and quarantine, humane treatment of animals, and the control and eradication of pests and diseases. Regulations to prevent the introduction or interstate spread of certain animal or plant pests or diseases are also enforced by the Service. It also carries out research and operational activities to reduce crop and livestock depredation caused by birds, rodents, and predators."
Antitrust Division,Justice Department,"The Assistant Attorney General in charge of the Antitrust Division is responsible for promoting and maintaining competitive markets by enforcing the Federal antitrust laws. This involves investigating possible antitrust violations, conducting grand jury proceedings, reviewing proposed mergers and acquisitions, preparing and trying antitrust cases, prosecuting appeals, and negotiating and enforcing final judgments. The Division prosecutes serious and willful violations of antitrust laws by filing criminal suits that can lead to large fines and jail sentences. 
Where criminal prosecution is not appropriate, the Division seeks a court order forbidding future violations of the law and requiring steps by the defendant to remedy the anticompetitive effects of past violations.
The Division also is responsible for acting as an advocate of competition within the Federal Government as well as internationally. This involves formal appearances in Federal administrative agency proceedings, development of legislative initiatives to promote deregulation and eliminate unjustifiable exemptions from the antitrust laws, and participation on executive branch policy task forces and in multilateral international organizations. The Division provides formal advice to other agencies on the competitive implications of proposed transactions requiring Federal approval, such as mergers of financial institutions."
Antitrust Modernization Commission,,"The Antitrust Modernization Commission was created pursuant to the Antitrust Modernization Commission Act of 2002 (P.L. 107-273). The Commission consists of 12 members, 4 of which were appointed by the President, 4 of which were appointed by the leadership of the Senate, and 4 of which were appointed by the leadership of the House of Representatives.
The Antitrust Modernization Commission was charged by statute to examine whether the need exists to modernize the antitrust laws and to identify and study related issues; to solicit views of all parties concerned with the operation of the antitrust laws; to evaluate the advisability of proposals and current arrangements with respect to any issues so identified; and to prepare and submit to Congress and the President a report.
The Antitrust Modernization Commission submitted its Report and Recommendations to Congress and the President on April 2, 2007. 
The Antitrust Modernization Commission terminated on May 31, 2007, pursuant to the Antitrust Modernization Commission Act, as amended."
Appalachian Regional Commission,,"The Appalachian Regional Commission (ARC) is a regional economic development agency that represents a partnership of federal, state, and local government. Established by an act of Congress in 1965, ARC is composed of the governors of the 13 Appalachian states and a federal co-chair, who is appointed by the president. Local participation is provided through multi-county local development districts.
ARC funds projects that address the four goals identified in the Commission's strategic plan:
(1) Increase job opportunities and per capita income in Appalachia to reach parity with the nation. 
(2) Strengthen the capacity of the people of Appalachia to compete in the global economy. 
(3) Develop and improve Appalachia's infrastructure to make the Region economically competitive. 
(4) Build the Appalachian Development Highway System to reduce Appalachia's isolation. 
Each year ARC provides funding for several hundred projects in the Appalachian Region, in areas such as business development, education and job training, telecommunications, infrastructure, community development, housing, and transportation. These projects create thousands of new jobs; improve local water and sewer systems; increase school readiness; expand access to health care; assist local communities with strategic planning; and provide technical and managerial assistance to emerging businesses."
Appalachian States Low-Level Radioactive Waste Commission,,"In 1986, Maryland ratified the Appalachian States Low-Level Radioactive Waste Compact (Chapter 33, Acts of 1986). Delaware, Pennsylvania, and West Virginia also have ratified the Compact. The Compact established the Appalachian States Low-Level Radioactive Waste Commission to assure interstate cooperation for the proper management and disposal of low-level radioactive wastes. 
The Commission identifies a host state (based on the volume and curie content of radioactive waste generated) to receive and dispose of radioactive waste from party states. Pennsylvania is currently the host state. Costs and benefits are distributed equitably among party states. Wastes generated outside the region may be banned by the Commission. 
To reduce the volume of low-level radioactive waste, the Commission conducts research and recommends regulations. The Commission also prepares contingency plans in the event the regional facility is closed and enters into temporary agreements for emergency disposal."
Architect of the Capitol,,"The Architect of the Capitol is responsible for the care and maintenance of the U.S. Capitol and the buildings and grounds of the Capitol complex. The agency implements construction, renovation, conservation, and landscape improvement projects as authorized by the Congress.
The Architect of the Capitol is charged with operating and maintaining the buildings of the Capitol complex committed to his care by Congress. Permanent authority for the care and maintenance of the Capitol was established by the act of August 15, 1876 (40 U.S.C. 162, 163). The Architect's duties include the mechanical and structural maintenance of the Capitol, the conservation and care of works of art in the building under the Architect's jurisdiction, the upkeep and improvement of the Capitol grounds, and the arrangement of inaugural and other ceremonies held in the building or on the grounds.
In addition to the Capitol, the Architect is responsible for the upkeep of all of the congressional office buildings, the Library of Congress buildings, the U.S. Supreme Court building, the Thurgood Marshall Federal Judiciary Building, the Capitol Power Plant, the Capitol Police headquarters, and the Robert A. Taft Memorial. The Architect performs his duties in connection with the Senate side of the Capitol and the Senate office buildings subject to the approval of the Senate Committee on Rules and Administration. In matters of general policy in connection with the House office buildings, his activities are subject to the approval and direction of the House Office Building Commission. The Architect is under the direction of the Speaker in matters concerning the House side of the Capitol. He is subject to the oversight of the Committee on House Administration with respect to many administrative matters affecting operations on the House side of the Capitol complex. In addition, the Architect of the Capitol serves as the Acting Director of the U.S. Botanic Garden under the Joint Committee on the Library."
Architectural and Transportation Barriers Compliance Board,,"The Architectural and Transportation Barriers Compliance Board (Access Board) is responsible for developing accessibility guidelines to ensure that new construction and alterations of facilities subject to the Americans with Disabilities Act of 1990 and the Architectural Barriers Act of 1968  are readily accessible to and usable by individuals with disabilities. The Americans with Disabilities Act applies to State and local government facilities, places of public accommodation, and commercial facilities. The Architectural Barriers Act applies to federally financed facilities."
Arctic Research Commission,,"The United States Arctic Research Commission was established by the Arctic Research and Policy Act of 1984 (as amended, Public Law 101-609). The Commission’s principal duties are (1) to establish the national policy, priorities, and goals necessary to construct a federal program plan for basic and applied scientific research with respect to the Arctic, including natural resources and materials, physical, biological and health sciences, and social and behavioral sciences; (2) to promote Arctic research, to recommend Arctic research policy, and to communicate our research and policy recommendations to the President and the Congress; (3) to work with the National Science Foundation as the lead agency responsible for implementing the Arctic research policy and to support cooperation and collaboration throughout the Federal Government; (4) to give guidance to the Interagency Arctic Research Policy Committee (IARPC) to develop national Arctic research projects and a five-year plan to implement those projects; and (5) to interact with Arctic residents, international Arctic research programs and organizations and local institutions including regional governments in order to obtain the broadest possible view of Arctic research needs."
Armed Forces Retirement Home,,"The Armed Forces Retirement Home is the nation’s oldest retirement community for enlisted military veterans. Established by Congress in 1851, a permanent trust fund was established and was fed by monthly, by active duty payroll deductions of 25 cents, when the average pay of a soldier was $7 a month. Fines and forfeitures from the armed forces and the monthly withholding have provided the principal support for the Home throughout its history. 
In 1991, Congress incorporated the U.S. Naval Home in Gulfport, Miss., and U.S. Soldiers’ and Airmen’s Home into an independent establishment in the Executive Branch of the Federal government known as the Armed Forces Retirement Home (AFRH). Each facility was maintained as a separate entity of the Retirement Home for administrative purposes. 
In 2001, Congress renamed the U.S. Naval Home and the U.S. Soldiers' and Airmen's Home the Armed Forces Retirement Home - Gulfport and the Armed Forces Retirement Home – Washington, respectively. "
Armed Forces Retirement Home,,"The Armed Forces Retirement Home is the nation’s oldest retirement community for enlisted military veterans. Established by Congress in 1851, a permanent trust fund was established and was fed by monthly, by active duty payroll deductions of 25 cents, when the average pay of a soldier was $7 a month. Fines and forfeitures from the armed forces and the monthly withholding have provided the principal support for the Home throughout its history. 
In 1991, Congress incorporated the U.S. Naval Home in Gulfport, Miss., and U.S. Soldiers’ and Airmen’s Home into an independent establishment in the Executive Branch of the Federal government known as the Armed Forces Retirement Home (AFRH). Each facility was maintained as a separate entity of the Retirement Home for administrative purposes. 
In 2001, Congress renamed the U.S. Naval Home and the U.S. Soldiers' and Airmen's Home the Armed Forces Retirement Home - Gulfport and the Armed Forces Retirement Home – Washington, respectively. "
Arms Control and Disarmament Agency,,"The mission of the United States Arms Control and Disarmament Agency is to strengthen the national security of the United States by formulating, advocating, negotiating, implementing and verifying effective arms control, nonproliferation, and disarmament policies, strategies, and agreements. In so doing, ACDA ensures that arms control is fully integrated into the development and conduct of United States national security policy."
Army Department,Defense Department,"The mission of the Department of the Army is to organize, train, and equip active duty and reserve forces for the preservation of peace, security, and the defense of our Nation. As part of our national military team, the Army focuses on land operations; its soldiers must be trained with modern arms and equipment and be ready to respond quickly.
 
The Army also administers programs aimed at protecting the environment, improving waterway navigation, flood and beach erosion control, and water resource development. It provides military assistance to Federal, State, and local government agencies, including natural disaster relief assistance.
  
The American Continental Army, now called the United States Army, was established by the Continental Congress on June 14, 1775, more than a year before the Declaration of Independence. The Department of War was established as an executive department at the seat of government by act approved August 7, 1789 (1 Stat. 49). The Secretary of War was established as its head. The National Security Act of 1947 (50 U.S.C. 401) created the National Military Establishment, and the Department of War was designated the Department of the Army. The title of its Secretary became Secretary of the Army (5 U.S.C. 171). The National Security Act Amendments of 1949 (63 Stat. 578) provided that the Department of the Army be a military department within the Department of Defense."
Army Department,Defense Department,"The mission of the Department of the Army is to organize, train, and equip active duty and reserve forces for the preservation of peace, security, and the defense of our Nation. As part of our national military team, the Army focuses on land operations; its soldiers must be trained with modern arms and equipment and be ready to respond quickly.
 
The Army also administers programs aimed at protecting the environment, improving waterway navigation, flood and beach erosion control, and water resource development. It provides military assistance to Federal, State, and local government agencies, including natural disaster relief assistance.
  
The American Continental Army, now called the United States Army, was established by the Continental Congress on June 14, 1775, more than a year before the Declaration of Independence. The Department of War was established as an executive department at the seat of government by act approved August 7, 1789 (1 Stat. 49). The Secretary of War was established as its head. The National Security Act of 1947 (50 U.S.C. 401) created the National Military Establishment, and the Department of War was designated the Department of the Army. The title of its Secretary became Secretary of the Army (5 U.S.C. 171). The National Security Act Amendments of 1949 (63 Stat. 578) provided that the Department of the Army be a military department within the Department of Defense."
Assassination Records Review Board,,"The Assassination Records Review Board is an independent federal agency created to oversee the identification and release of records related to the assassination of President John F. Kennedy. 
The Review Board was established by the President John F. Kennedy Assassination Records Collection act of 1992 (PL 102-526), and was signed into law by George Bush. The five members of the Board were appointed by President Clinton, confirmed by the United States Senate, and sworn in on April 11, 1994. 
The law gives the Assassination Records Review Board the mandate and the authority to identify, secure, and make available all records related to the assassination of President Kennedy. 
Having until October 1, 1996 to fulfill its mandate, plus an additional year at the Board's discretion to complete its responsibilities, the Board was terminated in September of 1998 following its issuance of its Final Report. (http://mcadams.posc.mu.edu/arrb/)"
Aviation Safety Commission,,
Barry M. Goldwater Scholarship and Excellence in Education Foundation,,"The Barry M. Goldwater Scholarship and Excellence in Education Program was established by the United States Congress in 1986 in honor of former United States Senator and 1964 Presidential candidate Barry Goldwater (R-Arizona). Its goal is to provide a continuing source of highly qualified scientists, mathematicians, and engineers by awarding scholarships to college students who intend to pursue careers in these fields. (http://en.wikipedia.org/wiki/Barry_M._Goldwater_Scholarship)"
Benefits Review Board,Labor Department,The Benefits Review Board was a three member quasi-judicial body with exclusive jurisdiction to consider and decide appeals raising substantial  questions of law or fact from decisions of Administrative Law Judges with respect to cases arising under the Longshoremen's  and Harbor Workers' Compensation Act and its extensions and the Black Lung Benefits Act of 1972. The Board exercises the same review  authority which the U.S. District Courts formerly held in these areas of the law prior to the 1972 amendments to both acts.
Bipartisan Commission on Entitlement and Tax Reform,,"The Bipartisan Commission on Entitlement Reform was established on November 5, 1993 by Executive Order 12878. The Commission, which began work in February 1994, was comprised of ten U.S. Senators, ten members of Congress, and twelve members of the public, along with a professional staff of 27.
In their approach, the Commission went well beyond the topics of Social Security and Medicare and lumped together everything that might be considered an “entitlement”—from welfare programs to the home mortgage interest tax deduction to the cost of federal civilian and military retirement. Its goal was to devise a package of proposals which would reduce the overall cost of all of these programs. 
The Commission failed to achieve consensus and went out of business without issuing any recommendations. Instead, its final report was a compilation of competing proposals."
Board of Directors of the Hope for Homeowners Program,,
Bonneville Power Administration,Energy Department,"The Bonneville Power Administration's mission as a public service organization is to create and deliver the best value for our customers and constituents as we act in concert with others to assure the Pacific Northwest:
(1) An adequate, efficient, economical and reliable power supply; 
(2) A transmission system that is adequate to the task of integrating and transmitting power from federal and non-federal generating units, providing service to BPA's customers, providing interregional interconnections, and maintaining electrical reliability and stability; and 
(3) Mitigation of the Federal Columbia River Power System's impacts on fish and wildlife. 
BPA is committed to cost-based rates, and public and regional preference in its marketing of power. BPA will set its rates as low as possible consistent with sound business principles and the full recovery of all of its costs, including timely repayment of the federal investment in the system."
Broadcasting Board of Governors,Broadcasting Board of Governors,"The Broadcasting Board of Governors' mission is to promote freedom and democracy and to enhance understanding by broadcasting accurate, objective, and balanced news and information about the United States and the world to audiences abroad.
The Broadcasting Board of Governors (BBG) became an independent agency on October 1, 1999, by authority of the Foreign Affairs Reform and Restructuring Act of 1998 (22 U.S.C. 6501 note). It is composed of nine members. Eight members are appointed by the President and confirmed by the Senate; the ninth, an ex-officio member, is the Secretary of State.
The BBG serves as the governing body for all nonmilitary U.S. broadcasting and provides programming in 56 languages via radio, television, and the Internet. The BBG broadcast services include the Voice of America, the Office of Cuba Broadcasting, Radio Free Europe/ Radio Liberty, Radio Free Asia, and the Middle East Broadcasting Networks.
All BBG broadcast services adhere to the broadcasting standards and principles of the International Broadcasting Act of 1994, which include reliable, accurate, and comprehensive news; balanced and comprehensive presentations of U.S. thought, institutions, and policies, as well as discussions about those policies; information about developments throughout the world; and a variety of opinions from nations around the world.
"
Broadcasting Board of Governors,Broadcasting Board of Governors,"The Broadcasting Board of Governors' mission is to promote freedom and democracy and to enhance understanding by broadcasting accurate, objective, and balanced news and information about the United States and the world to audiences abroad.
The Broadcasting Board of Governors (BBG) became an independent agency on October 1, 1999, by authority of the Foreign Affairs Reform and Restructuring Act of 1998 (22 U.S.C. 6501 note). It is composed of nine members. Eight members are appointed by the President and confirmed by the Senate; the ninth, an ex-officio member, is the Secretary of State.
The BBG serves as the governing body for all nonmilitary U.S. broadcasting and provides programming in 56 languages via radio, television, and the Internet. The BBG broadcast services include the Voice of America, the Office of Cuba Broadcasting, Radio Free Europe/ Radio Liberty, Radio Free Asia, and the Middle East Broadcasting Networks.
All BBG broadcast services adhere to the broadcasting standards and principles of the International Broadcasting Act of 1994, which include reliable, accurate, and comprehensive news; balanced and comprehensive presentations of U.S. thought, institutions, and policies, as well as discussions about those policies; information about developments throughout the world; and a variety of opinions from nations around the world.
"
Census Bureau,Commerce Department,"The Bureau of the Census was established as a permanent office by act of March 6, 1902 (32 Stat. 51). The major functions of the Census Bureau are authorized by the Constitution, which provides that a census of population shall be taken every 10 years, and by laws codified as title 13 of the United States Code. The law also provides that the information collected by the Census Bureau from individual persons, households, or establishments be kept strictly confidential and be used only for statistical purposes. 
The Census Bureau is responsible for the the decennial censuses of population and housing; the quinquennial censuses of State and local governments, manufacturers, mineral industries, distributive trades, construction industries, and transportation; current surveys that provide information on many of the subjects covered in the censuses at monthly, quarterly, annual, or other intervals; the compilation of current statistics on U.S. foreign trade, including data on imports, exports, and shipping; special censuses at the request and expense of State and local government units; publication of estimates and projections of the population; publication of current data on population and housing characteristics; and current reports on manufacturing, retail and wholesale trade, services, construction, imports and exports, State and local government finances and employment, and other subjects."
Census Monitoring Board,,
Centers for Disease Control and Prevention,Health and Human Services Department,"The Centers for Disease Control and Prevention (CDC), as part of the Public Health Service, is charged with protecting the public health of the Nation by providing leadership and direction in the prevention of and control of diseases and other preventable conditions and responding to public health emergencies. Within the CDC, there are four coordinating centers, two coordinating offices, and the National Institute for Occupational Safety and Health."
Centers for Medicare & Medicaid Services,Health and Human Services Department,"The Centers for Medicare and Medicaid Services, formerly known as the Health Care Financing Administration, was created to administer the Medicare, Medicaid, and related Federal medical care programs."
