active,cfr_citation,parent_agency_name,agency_name,description
1,,,Architect of the Capitol,"The Architect of the Capitol is responsible for the care and maintenance of the U.S. Capitol and the buildings and grounds of the Capitol complex. The agency implements construction, renovation, conservation, and landscape improvement projects as authorized by the Congress.
The Architect of the Capitol is charged with operating and maintaining the buildings of the Capitol complex committed to his care by Congress. Permanent authority for the care and maintenance of the Capitol was established by the act of August 15, 1876 (40 U.S.C. 162, 163). The Architect's duties include the mechanical and structural maintenance of the Capitol, the conservation and care of works of art in the building under the Architect's jurisdiction, the upkeep and improvement of the Capitol grounds, and the arrangement of inaugural and other ceremonies held in the building or on the grounds.
In addition to the Capitol, the Architect is responsible for the upkeep of all of the congressional office buildings, the Library of Congress buildings, the U.S. Supreme Court building, the Thurgood Marshall Federal Judiciary Building, the Capitol Power Plant, the Capitol Police headquarters, and the Robert A. Taft Memorial. The Architect performs his duties in connection with the Senate side of the Capitol and the Senate office buildings subject to the approval of the Senate Committee on Rules and Administration. In matters of general policy in connection with the House office buildings, his activities are subject to the approval and direction of the House Office Building Commission. The Architect is under the direction of the Speaker in matters concerning the House side of the Capitol. He is subject to the oversight of the Committee on House Administration with respect to many administrative matters affecting operations on the House side of the Capitol complex. In addition, the Architect of the Capitol serves as the Acting Director of the U.S. Botanic Garden under the Joint Committee on the Library."
1,36 CFR 1100-1199,,Architectural and Transportation Barriers Compliance Board,"The Architectural and Transportation Barriers Compliance Board (Access Board) is responsible for developing accessibility guidelines to ensure that new construction and alterations of facilities subject to the Americans with Disabilities Act of 1990 and the Architectural Barriers Act of 1968 are readily accessible to and usable by individuals with disabilities. The Americans with Disabilities Act applies to State and local government facilities, places of public accommodation, and commercial facilities. The Architectural Barriers Act applies to federally financed facilities."
1,45 CFR 2300-2399,,Arctic Research Commission,"The United States Arctic Research Commission was established by the Arctic Research and Policy Act of 1984 (as amended, Public Law 101-609). The Commission's principal duties are (1) to establish the national policy, priorities, and goals necessary to construct a federal program plan for basic and applied scientific research with respect to the Arctic, including natural resources and materials, physical, biological and health sciences, and social and behavioral sciences; (2) to promote Arctic research, to recommend Arctic research policy, and to communicate our research and policy recommendations to the President and the Congress; (3) to work with the National Science Foundation as the lead agency responsible for implementing the Arctic research policy and to support cooperation and collaboration throughout the Federal Government; (4) to give guidance to the Interagency Arctic Research Policy Committee (IARPC) to develop national Arctic research projects and a five-year plan to implement those projects; and (5) to interact with Arctic residents, international Arctic research programs and organizations and local institutions including regional governments in order to obtain the broadest possible view of Arctic research needs."
1,05 CFR 2100-2199,,Armed Forces Retirement Home,"The Armed Forces Retirement Home is the nation's oldest retirement community for enlisted military veterans. Established by Congress in 1851, a permanent trust fund was established and was fed by monthly, by active duty payroll deductions of 25 cents, when the average pay of a soldier was $7 a month. Fines and forfeitures from the armed forces and the monthly withholding have provided the principal support for the Home throughout its history. 
In 1991, Congress incorporated the U.S. Naval Home in Gulfport, MS, and U.S. Soldiers' and Airmen's Home into an independent establishment in the Executive Branch of the Federal government known as the Armed Forces Retirement Home (AFRH). Each facility was maintained as a separate entity of the Retirement Home for administrative purposes. 
In 2001, Congress renamed the U.S. Naval Home and the U.S. Soldiers' and Airmen's Home the Armed Forces Retirement Home - Gulfport and the Armed Forces Retirement Home - Washington, respectively. "
1,38 CFR 200-299,,Armed Forces Retirement Home,"The Armed Forces Retirement Home is the nation's oldest retirement community for enlisted military veterans. Established by Congress in 1851, a permanent trust fund was established and was fed by monthly, by active duty payroll deductions of 25 cents, when the average pay of a soldier was $7 a month. Fines and forfeitures from the armed forces and the monthly withholding have provided the principal support for the Home throughout its history. 
In 1991, Congress incorporated the U.S. Naval Home in Gulfport, MS, and U.S. Soldiers' and Airmen's Home into an independent establishment in the Executive Branch of the Federal government known as the Armed Forces Retirement Home (AFRH). Each facility was maintained as a separate entity of the Retirement Home for administrative purposes. 
In 2001, Congress renamed the U.S. Naval Home and the U.S. Soldiers' and Airmen's Home the Armed Forces Retirement Home - Gulfport and the Armed Forces Retirement Home - Washington, respectively. "
0,,,Arms Control and Disarmament Agency,"The mission of the United States Arms Control and Disarmament Agency is to strengthen the national security of the United States by formulating, advocating, negotiating, implementing and verifying effective arms control, nonproliferation, and disarmament policies, strategies, and agreements. In so doing, ACDA ensures that arms control is fully integrated into the development and conduct of United States national security policy."
1,32 CFR 400-699,Defense Department,Army Department,"The mission of the Department of the Army is to organize, train, and equip active duty and reserve forces for the preservation of peace, security, and the defense of our Nation. As part of our national military team, the Army focuses on land operations; its soldiers must be trained with modern arms and equipment and be ready to respond quickly.
 
The Army also administers programs aimed at protecting the environment, improving waterway navigation, flood and beach erosion control, and water resource development. It provides military assistance to Federal, State, and local government agencies, including natural disaster relief assistance.
 
The American Continental Army, now called the United States Army, was established by the Continental Congress on June 14, 1775, more than a year before the Declaration of Independence. The Department of War was established as an executive department at the seat of government by act approved August 7, 1789 (1 Stat. 49). The Secretary of War was established as its head. The National Security Act of 1947 (50 U.S.C. 401) created the National Military Establishment, and the Department of War was designated the Department of the Army. The title of its Secretary became Secretary of the Army (5 U.S.C. 171). The National Security Act Amendments of 1949 (63 Stat. 578) provided that the Department of the Army be a military department within the Department of Defense."
1,48 CFR 5100-5199,Defense Department,Army Department,"The mission of the Department of the Army is to organize, train, and equip active duty and reserve forces for the preservation of peace, security, and the defense of our Nation. As part of our national military team, the Army focuses on land operations; its soldiers must be trained with modern arms and equipment and be ready to respond quickly.
 
The Army also administers programs aimed at protecting the environment, improving waterway navigation, flood and beach erosion control, and water resource development. It provides military assistance to Federal, State, and local government agencies, including natural disaster relief assistance.
 
The American Continental Army, now called the United States Army, was established by the Continental Congress on June 14, 1775, more than a year before the Declaration of Independence. The Department of War was established as an executive department at the seat of government by act approved August 7, 1789 (1 Stat. 49). The Secretary of War was established as its head. The National Security Act of 1947 (50 U.S.C. 401) created the National Military Establishment, and the Department of War was designated the Department of the Army. The title of its Secretary became Secretary of the Army (5 U.S.C. 171). The National Security Act Amendments of 1949 (63 Stat. 578) provided that the Department of the Army be a military department within the Department of Defense."
0,,,Assassination Records Review Board,"The Assassination Records Review Board was an independent federal agency created to oversee the identification and release of records related to the assassination of President John F. Kennedy. 
The Review Board was established by the President John F. Kennedy Assassination Records Collection act of 1992 (PL 102-526), and was signed into law by George Bush. The five members of the Board were appointed by President Clinton, confirmed by the United States Senate, and sworn in on April 11, 1994. 
Having until October 1, 1996 to fulfill its mandate, plus an additional year at the Board's discretion to complete its responsibilities, the Board was terminated in September of 1998 following the issuance of its Final Report. [http://mcadams.posc.mu.edu/arrb/]"
1,,,Aviation Safety Commission,
1,,,Barry M. Goldwater Scholarship and Excellence in Education Foundation,"The Barry M. Goldwater Scholarship and Excellence in Education Program was established by the United States Congress in 1986 in honor of former United States Senator and 1964 Presidential candidate Barry Goldwater (R-Arizona). Its goal is to provide a continuing source of highly qualified scientists, mathematicians, and engineers by awarding scholarships to college students who intend to pursue careers in these fields. (http://en.wikipedia.org/wiki/Barry_M._Goldwater_Scholarship)"
1,20 CFR 800-899,Labor Department,Benefits Review Board,The Benefits Review Board was a three member quasi-judicial body with exclusive jurisdiction to consider and decide appeals raising substantial questions of law or fact from decisions of Administrative Law Judges with respect to cases arising under the Longshoremen's and Harbor Workers' Compensation Act and its extensions and the Black Lung Benefits Act of 1972. The Board exercises the same review authority which the U.S. District Courts formerly held in these areas of the law prior to the 1972 amendments to both acts.
1,,,Bipartisan Commission on Entitlement and Tax Reform,"The Bipartisan Commission on Entitlement Reform was established on November 5, 1993 by Executive Order 12878. The Commission, which began work in February 1994, was comprised of ten U.S. Senators, ten members of Congress, and twelve members of the public, along with a professional staff of 27.
In their approach, the Commission went well beyond the topics of Social Security and Medicare and lumped together everything that might be considered an ""entitlement"" --from welfare programs to the home mortgage interest tax deduction to the cost of federal civilian and military retirement. Its goal was to devise a package of proposals which would reduce the overall cost of all of these programs. 
The Commission failed to achieve consensus and went out of business without issuing any recommendations. Instead, its final report was a compilation of competing proposals."
1,,,Board of Directors of the Hope for Homeowners Program,"Hope for Homeowners Program along with the Board of Directors of the Hope for Homeowners Program were established under Title II, sec. 257 of the National Housing Act, as amended by the HOPE for Homeowners Act of 2008, located in Title IV of division A of the Housing and Economic Recovery Act of 2008 (HERA),(Pub. L. 110-289, 122 Stat. 2654, approved July 30, 2008).
Under the National Housing Act, the Board's duties are to establish requirements and standards for the HOPE for Homeowners Program. This program is a temporary program established within the Federal Housing Administration (FHA) of the Department of Housing and Urban Development (HUD) that offers homeowners and existing loan holders (or servicers acting on their behalf) FHA insurance on refinanced loans for distressed borrowers to support long-term sustainable homeownership by, among other things, allowing homeowners to avoid foreclosure. The HOPE for Homeowners Program is administered by HUD through FHA.
The Board is composed of the Secretary of HUD, the Secretary of Treasury, the Chairman of the Board of Governors of the Federal Reserve System, and the Chairperson of the Board of Directors of the Federal Deposit Insurance Corporation, or their respective designees."
1,,Energy Department,Bonneville Power Administration,"The Bonneville Power Administration's mission as a public service organization is to create and deliver the best value for our customers and constituents as we act in concert with others to assure the Pacific Northwest:
(1) An adequate, efficient, economical and reliable power supply; 
(2) A transmission system that is adequate to the task of integrating and transmitting power from federal and non-federal generating units, providing service to BPA's customers, providing interregional interconnections, and maintaining electrical reliability and stability; and 
(3) Mitigation of the Federal Columbia River Power System's impacts on fish and wildlife. 
BPA is committed to cost-based rates, and public and regional preference in its marketing of power. BPA will set its rates as low as possible consistent with sound business principles and the full recovery of all of its costs, including timely repayment of the federal investment in the system."
1,22 CFR 500-599,Broadcasting Board of Governors,Broadcasting Board of Governors,"The Broadcasting Board of Governors' mission is to promote freedom and democracy and to enhance understanding by broadcasting accurate, objective, and balanced news and information about the United States and the world to audiences abroad.
The Broadcasting Board of Governors (BBG) became an independent agency on October 1, 1999, by authority of the Foreign Affairs Reform and Restructuring Act of 1998 (22 U.S.C. 6501 note). It is composed of nine members. Eight members are appointed by the President and confirmed by the Senate; the ninth, an ex-officio member, is the Secretary of State.
The BBG serves as the governing body for all nonmilitary U.S. broadcasting and provides programming in 56 languages via radio, television, and the Internet. The BBG broadcast services include the Voice of America, the Office of Cuba Broadcasting, Radio Free Europe/ Radio Liberty, Radio Free Asia, and the Middle East Broadcasting Networks.
All BBG broadcast services adhere to the broadcasting standards and principles of the International Broadcasting Act of 1994, which include reliable, accurate, and comprehensive news; balanced and comprehensive presentations of U.S. thought, institutions, and policies, as well as discussions about those policies; information about developments throughout the world; and a variety of opinions from nations around the world.
"
1,48 CFR 1900-1999,Broadcasting Board of Governors,Broadcasting Board of Governors,"The Broadcasting Board of Governors' mission is to promote freedom and democracy and to enhance understanding by broadcasting accurate, objective, and balanced news and information about the United States and the world to audiences abroad.
The Broadcasting Board of Governors (BBG) became an independent agency on October 1, 1999, by authority of the Foreign Affairs Reform and Restructuring Act of 1998 (22 U.S.C. 6501 note). It is composed of nine members. Eight members are appointed by the President and confirmed by the Senate; the ninth, an ex-officio member, is the Secretary of State.
The BBG serves as the governing body for all nonmilitary U.S. broadcasting and provides programming in 56 languages via radio, television, and the Internet. The BBG broadcast services include the Voice of America, the Office of Cuba Broadcasting, Radio Free Europe/ Radio Liberty, Radio Free Asia, and the Middle East Broadcasting Networks.
All BBG broadcast services adhere to the broadcasting standards and principles of the International Broadcasting Act of 1994, which include reliable, accurate, and comprehensive news; balanced and comprehensive presentations of U.S. thought, institutions, and policies, as well as discussions about those policies; information about developments throughout the world; and a variety of opinions from nations around the world.
"
1,15 CFR 30-199,Commerce Department,Census Bureau,"The Bureau of the Census was established as a permanent office by act of March 6, 1902 (32 Stat. 51). The major functions of the Census Bureau are authorized by the Constitution, which provides that a census of population shall be taken every 10 years, and by laws codified as title 13 of the United States Code. The law also provides that the information collected by the Census Bureau from individual persons, households, or establishments be kept strictly confidential and be used only for statistical purposes. 
The Census Bureau is responsible for the the decennial censuses of population and housing; the quinquennial censuses of State and local governments, manufacturers, mineral industries, distributive trades, construction industries, and transportation; current surveys that provide information on many of the subjects covered in the censuses at monthly, quarterly, annual, or other intervals; the compilation of current statistics on U.S. foreign trade, including data on imports, exports, and shipping; special censuses at the request and expense of State and local government units; publication of estimates and projections of the population; publication of current data on population and housing characteristics; and current reports on manufacturing, retail and wholesale trade, services, construction, imports and exports, State and local government finances and employment, and other subjects."
1,,,Census Monitoring Board,"The Census Monitoring Board was established under the Act of Nov. 26, 1997 (111 Stat. 2483)
The Board consisted of 8 members, whose duties were to monitor all aspects of the preparation and implementation of the 2000 decennial census (including dress rehearsals and other simulations of a census in preparation therefore). 
The Board was terminated as provided in the establishing act as of September 30, 2001."
